"","age_group","education_recode","sex_label","Westminster.Parliamentary.constituencies.Code","total_observations","avg_predicted_turnout_prob","avg_con","avg_lab","avg_lib","avg_other","scale_factor_con","scale_factor_lab","scale_factor_lib","scale_factor_other","scaled_est_votes_con","scaled_est_votes_lab","scaled_est_votes_lib","scaled_est_votes_other"
"1","Aged 20 to 39 years","No/Low Qualifications","Female","E14000530",1154,0.497131812132218,0.297177272727273,0.477418181818182,0.0532,0.172204545454545,0.975908527206535,0.502882086393821,0.728868816364902,0.157315481311106,166,138,22,16
"2","Aged 20 to 39 years","No/Low Qualifications","Male","E14000530",1477,0.720064207549919,0.346170588235294,0.404432352941176,0.0751411764705882,0.174255882352941,0.975908527206535,0.502882086393821,0.728868816364902,0.157315481311106,359,216,58,29
"3","Aged 20 to 39 years","Intermediate Qualifications","Female","E14000530",13406,0.760181316887431,0.227132716049383,0.497472222222222,0.112260802469136,0.163134259259259,0.975908527206535,0.502882086393821,0.728868816364902,0.157315481311106,2259,2549,834,262
"4","Aged 20 to 39 years","Intermediate Qualifications","Male","E14000530",12940,0.843580019214879,0.257627717391304,0.433054347826087,0.141222826086957,0.168095108695652,0.975908527206535,0.502882086393821,0.728868816364902,0.157315481311106,2744,2377,1124,289
"5","Aged 20 to 39 years","Advanced/Higher Education","Female","E14000530",328,0.76430544380396,0.237481939163498,0.518953422053232,0.105027566539924,0.138537072243346,0.975908527206535,0.502882086393821,0.728868816364902,0.157315481311106,58,65,19,5
"6","Aged 20 to 39 years","Advanced/Higher Education","Male","E14000530",356,0.821502463527672,0.264875,0.464010869565217,0.12794972826087,0.143164402173913,0.975908527206535,0.502882086393821,0.728868816364902,0.157315481311106,76,68,27,7
"7","Aged 20 to 39 years","Other/Not Categorized","Female","E14000530",1314,0.678079945594072,0.2752,0.4318125,0.1155125,0.177475,0.975908527206535,0.502882086393821,0.728868816364902,0.157315481311106,239,193,75,25
"8","Aged 20 to 39 years","Other/Not Categorized","Male","E14000530",1830,0.838263124227524,0.314725,0.3309,0.1485,0.205875,0.975908527206535,0.502882086393821,0.728868816364902,0.157315481311106,471,255,166,50
"9","Aged 40 to 59 years","No/Low Qualifications","Female","E14000530",1965,0.765625301814644,0.457488165680473,0.301346153846154,0.0702041420118343,0.170961538461538,0.975908527206535,0.502882086393821,0.728868816364902,0.157315481311106,672,228,77,40
"10","Aged 40 to 59 years","No/Low Qualifications","Male","E14000530",1973,0.81011129710181,0.514943965517241,0.235811781609195,0.0808103448275862,0.168433908045977,0.975908527206535,0.502882086393821,0.728868816364902,0.157315481311106,803,190,94,42
"11","Aged 40 to 59 years","Intermediate Qualifications","Female","E14000530",10270,0.869428382689754,0.378766666666667,0.308754444444444,0.143048888888889,0.16943,0.975908527206535,0.502882086393821,0.728868816364902,0.157315481311106,3301,1386,931,238
"12","Aged 40 to 59 years","Intermediate Qualifications","Male","E14000530",10387,0.881263661474503,0.417822413793103,0.249734482758621,0.15678275862069,0.175660344827586,0.975908527206535,0.502882086393821,0.728868816364902,0.157315481311106,3732,1150,1046,253
"13","Aged 40 to 59 years","Advanced/Higher Education","Female","E14000530",427,0.859359689226205,0.388791666666667,0.319421401515152,0.143182765151515,0.148604166666667,0.975908527206535,0.502882086393821,0.728868816364902,0.157315481311106,139,59,38,9
"14","Aged 40 to 59 years","Advanced/Higher Education","Male","E14000530",445,0.898367611854746,0.428149122807018,0.275919956140351,0.144051535087719,0.151879385964912,0.975908527206535,0.502882086393821,0.728868816364902,0.157315481311106,167,55,42,10
"15","Aged 40 to 59 years","Other/Not Categorized","Female","E14000530",2277,0.839575871825218,0.42021875,0.243145833333333,0.1460625,0.190572916666667,0.975908527206535,0.502882086393821,0.728868816364902,0.157315481311106,784,234,204,57
"16","Aged 40 to 59 years","Other/Not Categorized","Male","E14000530",2079,0.845500565171242,0.47315,0.17908,0.16289,0.18488,0.975908527206535,0.502882086393821,0.728868816364902,0.157315481311106,812,158,209,51
"17","Aged 60 to 74 years","No/Low Qualifications","Female","E14000530",721,0.784672681149712,0.565014900662252,0.208884105960265,0.0785927152317881,0.147508278145695,0.975908527206535,0.502882086393821,0.728868816364902,0.157315481311106,312,59,32,13
"18","Aged 60 to 74 years","No/Low Qualifications","Male","E14000530",574,0.850662731496718,0.602615763546798,0.172246305418719,0.0801096059113301,0.145028325123153,0.975908527206535,0.502882086393821,0.728868816364902,0.157315481311106,287,42,29,11
"19","Aged 60 to 74 years","Intermediate Qualifications","Female","E14000530",1478,0.865084359146655,0.466866,0.2333,0.144008,0.155826,0.975908527206535,0.502882086393821,0.728868816364902,0.157315481311106,583,150,134,31
"20","Aged 60 to 74 years","Intermediate Qualifications","Male","E14000530",1866,0.915047324195351,0.501252577319588,0.190675257731959,0.154103092783505,0.153969072164948,0.975908527206535,0.502882086393821,0.728868816364902,0.157315481311106,835,164,192,41
"21","Aged 60 to 74 years","Advanced/Higher Education","Female","E14000530",102,0.923766388047126,0.472252016129032,0.250925403225806,0.147971774193548,0.128850806451613,0.975908527206535,0.502882086393821,0.728868816364902,0.157315481311106,43,12,10,2
"22","Aged 60 to 74 years","Advanced/Higher Education","Male","E14000530",98,0.929587560286234,0.524350274725275,0.202287087912088,0.142520604395604,0.130842032967033,0.975908527206535,0.502882086393821,0.728868816364902,0.157315481311106,47,9,9,2
"23","Aged 60 to 74 years","Other/Not Categorized","Female","E14000530",471,0.881373014336882,0.519384615384615,0.175543269230769,0.137216346153846,0.167855769230769,0.975908527206535,0.502882086393821,0.728868816364902,0.157315481311106,210,37,42,11
"24","Aged 60 to 74 years","Other/Not Categorized","Male","E14000530",337,0.922599352896214,0.552776785714286,0.155125,0.100535714285714,0.1915625,0.975908527206535,0.502882086393821,0.728868816364902,0.157315481311106,168,24,23,9
"25","Aged 75 years and over","No/Low Qualifications","Female","E14000530",4595,0.798685365147138,0.61584496124031,0.204831395348837,0.0789205426356589,0.100403100775194,0.975908527206535,0.502882086393821,0.728868816364902,0.157315481311106,2206,378,211,58
"26","Aged 75 years and over","No/Low Qualifications","Male","E14000530",2827,0.884141170233488,0.66098,0.15003,0.0905375,0.0984525,0.975908527206535,0.502882086393821,0.728868816364902,0.157315481311106,1612,189,165,39
"27","Aged 75 years and over","Intermediate Qualifications","Female","E14000530",3041,0.932649219798487,0.504,0.232726744186047,0.158447674418605,0.104825581395349,0.975908527206535,0.502882086393821,0.728868816364902,0.157315481311106,1395,332,328,47
"28","Aged 75 years and over","Intermediate Qualifications","Male","E14000530",4190,0.944739497088371,0.553436170212766,0.173547872340426,0.176808510638298,0.0962074468085106,0.975908527206535,0.502882086393821,0.728868816364902,0.157315481311106,2138,345,510,60
"29","Aged 75 years and over","Advanced/Higher Education","Female","E14000530",561,0.942179048997025,0.516488372093023,0.243372093023256,0.143593023255814,0.096546511627907,0.975908527206535,0.502882086393821,0.728868816364902,0.157315481311106,266,65,55,8
"30","Aged 75 years and over","Advanced/Higher Education","Male","E14000530",363,0.938747664418402,0.574091772151899,0.181857594936709,0.148496835443038,0.0955537974683544,0.975908527206535,0.502882086393821,0.728868816364902,0.157315481311106,191,31,37,5
"31","Aged 75 years and over","Other/Not Categorized","Female","E14000530",1155,0.920863205956858,0.57496511627907,0.160232558139535,0.149098837209302,0.115703488372093,0.975908527206535,0.502882086393821,0.728868816364902,0.157315481311106,597,86,116,19
"32","Aged 75 years and over","Other/Not Categorized","Male","E14000530",581,0.931479934453964,0.58068,0.13158,0.15607,0.13167,0.975908527206535,0.502882086393821,0.728868816364902,0.157315481311106,307,36,62,11
"33","Aged 20 to 39 years","No/Low Qualifications","Female","E14000531",601,0.497131812132218,0.297177272727273,0.477418181818182,0.0532,0.172204545454545,1.25143869448295,0.542490193816285,0.349271448459021,0.144845696377029,111,77,6,7
"34","Aged 20 to 39 years","No/Low Qualifications","Male","E14000531",796,0.720064207549919,0.346170588235294,0.404432352941176,0.0751411764705882,0.174255882352941,1.25143869448295,0.542490193816285,0.349271448459021,0.144845696377029,248,126,15,14
"35","Aged 20 to 39 years","Intermediate Qualifications","Female","E14000531",7419,0.760181316887431,0.227132716049383,0.497472222222222,0.112260802469136,0.163134259259259,1.25143869448295,0.542490193816285,0.349271448459021,0.144845696377029,1603,1522,221,133
"36","Aged 20 to 39 years","Intermediate Qualifications","Male","E14000531",6700,0.843580019214879,0.257627717391304,0.433054347826087,0.141222826086957,0.168095108695652,1.25143869448295,0.542490193816285,0.349271448459021,0.144845696377029,1822,1328,279,138
"37","Aged 20 to 39 years","Advanced/Higher Education","Female","E14000531",82,0.76430544380396,0.237481939163498,0.518953422053232,0.105027566539924,0.138537072243346,1.25143869448295,0.542490193816285,0.349271448459021,0.144845696377029,19,18,2,1
"38","Aged 20 to 39 years","Advanced/Higher Education","Male","E14000531",102,0.821502463527672,0.264875,0.464010869565217,0.12794972826087,0.143164402173913,1.25143869448295,0.542490193816285,0.349271448459021,0.144845696377029,28,21,4,2
"39","Aged 20 to 39 years","Other/Not Categorized","Female","E14000531",572,0.678079945594072,0.2752,0.4318125,0.1155125,0.177475,1.25143869448295,0.542490193816285,0.349271448459021,0.144845696377029,134,91,16,10
"40","Aged 20 to 39 years","Other/Not Categorized","Male","E14000531",826,0.838263124227524,0.314725,0.3309,0.1485,0.205875,1.25143869448295,0.542490193816285,0.349271448459021,0.144845696377029,273,124,36,21
"41","Aged 40 to 59 years","No/Low Qualifications","Female","E14000531",1306,0.765625301814644,0.457488165680473,0.301346153846154,0.0702041420118343,0.170961538461538,1.25143869448295,0.542490193816285,0.349271448459021,0.144845696377029,572,163,25,25
"42","Aged 40 to 59 years","No/Low Qualifications","Male","E14000531",1551,0.81011129710181,0.514943965517241,0.235811781609195,0.0808103448275862,0.168433908045977,1.25143869448295,0.542490193816285,0.349271448459021,0.144845696377029,810,161,35,31
"43","Aged 40 to 59 years","Intermediate Qualifications","Female","E14000531",7668,0.869428382689754,0.378766666666667,0.308754444444444,0.143048888888889,0.16943,1.25143869448295,0.542490193816285,0.349271448459021,0.144845696377029,3160,1117,333,164
"44","Aged 40 to 59 years","Intermediate Qualifications","Male","E14000531",7053,0.881263661474503,0.417822413793103,0.249734482758621,0.15678275862069,0.175660344827586,1.25143869448295,0.542490193816285,0.349271448459021,0.144845696377029,3250,842,340,158
"45","Aged 40 to 59 years","Advanced/Higher Education","Female","E14000531",203,0.859359689226205,0.388791666666667,0.319421401515152,0.143182765151515,0.148604166666667,1.25143869448295,0.542490193816285,0.349271448459021,0.144845696377029,85,30,9,4
"46","Aged 40 to 59 years","Advanced/Higher Education","Male","E14000531",227,0.898367611854746,0.428149122807018,0.275919956140351,0.144051535087719,0.151879385964912,1.25143869448295,0.542490193816285,0.349271448459021,0.144845696377029,109,31,10,4
"47","Aged 40 to 59 years","Other/Not Categorized","Female","E14000531",1445,0.839575871825218,0.42021875,0.243145833333333,0.1460625,0.190572916666667,1.25143869448295,0.542490193816285,0.349271448459021,0.144845696377029,638,160,62,33
"48","Aged 40 to 59 years","Other/Not Categorized","Male","E14000531",1358,0.845500565171242,0.47315,0.17908,0.16289,0.18488,1.25143869448295,0.542490193816285,0.349271448459021,0.144845696377029,680,112,65,31
"49","Aged 60 to 74 years","No/Low Qualifications","Female","E14000531",592,0.784672681149712,0.565014900662252,0.208884105960265,0.0785927152317881,0.147508278145695,1.25143869448295,0.542490193816285,0.349271448459021,0.144845696377029,328,53,13,10
